CODIGO_DO_FUNDO;SETOR;PRECO_ATUAL;LIQUIDEZ_DIARIA;DIVIDENDO;DIVIDEND_YIELD;DY_(3M)_ACUMULADO;DY_(6M)_ACUMULADO;DY_(12M)_ACUMULADO;DY_(3M)_MEDIA;DY_(6M)_MEDIA;DY_(12M)_MEDIA;DY_ANO;VARIACAO_PRECO;RENTAB._PERIODO;RENTAB._ACUMULADA;PATRIMONIO_LIQ.;VPA;P/VPA;DY_PATRIMONIAL;VARIACAO_PATRIMONIAL;RENTAB._PATR._NO_PERIODO;RENTAB._PATR._ACUMULADA;VACANCIA_FISICA;VACANCIA_FINANCEIRA;QUANTIDADE_ATIVOS
CXAG11;Outros;79.50;2378;0.75;0.93;2.82;5.92;0.00;0.94;0.99;0.00;8.82;0.70;1.64;15.50;241476769.69;115.50;0.69;0.65;0.64;1.29;17.40;;;0
GTWR11;Lajes Corporativas;81.40;5499;0.74;0.88;2.68;5.79;11.22;0.89;0.97;0.94;9.46;3.02;3.93;9.37;1176184659.40;98.02;0.83;0.75;0.02;0.78;7.25;0.00;0.00;1
XPHT11;Hotel;114.00;8;1.60;1.47;3.38;4.59;6.46;1.13;0.76;0.54;4.69;-3.35;-1.94;16.69;358637199.59;94.26;1.21;1.70;0.14;1.84;5.15;64.90;;5
XPLG11;Logística;100.31;38558;0.74;0.69;2.04;4.24;8.29;0.68;0.71;0.69;6.96;-0.68;0.01;16.68;396972945.45;114.27;0.88;0.65;0.05;0.70;10.55;8.80;1.20;13
ARRI11;Títulos e Val Mob;8.97;33434;0.11;1.19;3.93;8.04;16.63;1.31;1.34;1.39;13.29;3.70;4.93;-89.51;108613266.44;9.22;0.97;1.52;-0.68;0.83;-89.02;;;0
RBVO11;Outros;10.98;531;0.03;0.27;0.82;1.54;3.58;0.27;0.26;0.30;2.94;-1.25;-0.98;-7.16;910547.56;17.47;0.63;0.17;1.85;2.02;-22.07;;;0
RDPD11;Títulos e Val Mob;35.60;2188;0.44;1.25;3.44;6.67;12.94;1.15;1.11;1.08;11.25;-29.15;-28.27;-30.46;58132763.28;53.92;0.66;0.82;-1.24;-0.44;0.69;;;0
KINP11;Residencial;9.39;517;0.14;1.47;4.34;11.63;0.00;1.45;1.94;0.00;16.21;-2.32;-0.88;-23.63;3660850.97;5.12;1.83;2.66;-4.09;-1.54;2.66;;;0
LASC11;Shoppings;92.00;16;0.81;0.88;2.20;4.25;7.92;0.73;0.71;0.66;7.27;0.00;0.88;9.91;323242354.39;109.94;0.84;0.74;-2.42;-1.70;1.79;2.40;;3
HTMX11;Hotel;106.46;3255;0.91;0.78;1.58;2.63;5.34;0.53;0.44;0.44;1.58;3.38;4.19;5.02;188283438.93;125.16;0.85;0.72;-0.12;0.60;0.60;65.00;;23
VCRR11;Residencial;74.50;769;0.67;0.89;2.54;5.34;10.74;0.85;0.89;0.90;8.92;-7.07;-6.24;6.47;239991594.89;120.00;0.62;0.56;0.03;0.59;5.46;;;0
KNHY11;Títulos e Val Mob;96.16;34868;0.47;0.47;1.64;5.72;13.46;0.55;0.95;1.12;10.66;3.02;3.51;2.99;1823754510.11;98.63;0.97;0.48;1.05;1.53;11.85;;;0
URPR11;Outros;99.46;40115;1.13;1.11;3.97;8.53;17.64;1.32;1.42;1.47;14.41;0.04;1.15;-2.75;1180250715.71;101.09;0.98;1.12;-0.34;0.78;23.72;;;0
HUSC11;Outros;108.00;10;0.87;0.74;2.44;5.38;8.71;0.81;0.90;0.73;7.71;0.86;1.61;13.52;113469226.80;142.80;0.76;0.65;0.00;0.65;4.03;;;0
NVIF11B;Outros;95.90;88;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;95.96;971;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;95.96;1257;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;96.52;1760;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.34;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;96.14;1449;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;96.15;1508;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;95.92;558;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;95.81;2665;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NVIF11B;Outros;96.20;1534;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;96965945.92;287.39;0.33;0.15;3.38;3.54;14.24;;;0
NEWL11;Híbrido;98.00;971;0.90;0.89;2.65;6.28;11.57;0.88;1.05;0.96;9.44;-0.79;0.10;8.13;246735393.74;121.36;0.81;0.74;0.12;0.86;13.25;0.00;;2
LVBI11;Logística;102.00;12823;0.75;0.69;2.11;4.32;8.64;0.70;0.72;0.72;5.76;0.00;0.69;21.62;1360519943.04;115.54;0.88;0.65;0.04;0.69;3.82;0.50;0.00;10
HSRE11;Híbrido;101.50;4;0.63;0.62;1.88;3.63;7.32;0.63;0.60;0.61;5.87;-0.15;0.48;6.92;819700436.58;96.23;1.05;0.65;0.06;0.71;5.18;0.00;;29
JPPA11;Títulos e Val Mob;104.50;3425;1.50;1.43;4.45;10.04;18.75;1.48;1.67;1.56;16.08;-1.19;0.23;26.01;70328481.77;99.77;1.05;1.50;0.38;1.89;11.01;;;0
RZTR11;Híbrido;99.18;45177;1.25;1.22;3.61;7.28;14.57;1.20;1.21;1.21;13.34;-1.89;-0.70;12.49;17566603.90;97.31;1.02;1.28;-0.23;1.05;8.97;;;10
QAMI11;Híbrido;81.88;127;0.80;0.95;3.04;7.26;15.39;1.01;1.21;1.28;12.19;-0.17;0.78;-4.25;74533196.45;93.00;0.88;0.86;0.77;1.64;11.52;;;0
